4.1100 	INFO 	Loaded monitor calibration from ['2025_02_13 22:41']
4.2549 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001C0ACB387C0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001C0ACB38760>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001C0AD874C40>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.2550 	EXP 	window1: backgroundImage = ''
4.2550 	EXP 	window1: backgroundFit = 'none'
4.3154 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.3154 	EXP 	window1: recordFrameIntervals = False
4.5598 	EXP 	window1: recordFrameIntervals = True
4.7435 	EXP 	Screen (0) actual frame rate measured at 59.92Hz
4.7435 	EXP 	window1: recordFrameIntervals = False
6.5554 	INFO 	keyboard.Keyboard is using iohub backend.
6.5555 	INFO 	keyboard.Keyboard is using iohub backend.
6.5555 	INFO 	keyboard.Keyboard is using iohub backend.
6.5555 	EXP 	article: status = STARTED
6.6452 	EXP 	Created imagefirst = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='image/kumnum.png', interpolate=True, mask=None, maskParams=None, name='imagefirst', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1.78, 1.  ]), texRes=128.0, units='height', win=Window(...))
6.6494 	EXP 	Created imageanswer = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='imageanswer', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1.78, 1.  ]), texRes=128.0, units='height', win=Window(...))
6.6530 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1.78, 1.  ]), texRes=128.0, units='height', win=Window(...))
6.6868 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0257 	INFO 	Keyboard events cleared
0.0256 	EXP 	imagefirst: autoDraw = True
1.2001 	EXP 	Imported question_stim.xlsx as conditions, 10 conditions, 3 params
1.2003 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'article_image': 'image/number1.png', 'check_key': 1, 'answer_image': 'image/noawnser1.png', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
1.2875 	DATA 	Keypress: space
1.2914 	EXP 	imagefirst: autoDraw = False
1.2914 	EXP 	imageanswer: image = 'image/noawnser1.png'
1.2914 	EXP 	imageanswer: autoDraw = True
6.2960 	INFO 	Keyboard events cleared
6.2958 	EXP 	imageanswer: autoDraw = False
6.2958 	EXP 	image: image = 'image/number1.png'
6.2958 	EXP 	image: autoDraw = True
12.3027 	DATA 	Keypress: 1
12.3176 	EXP 	image: autoDraw = False
12.3176 	EXP 	text: autoDraw = True
12.8017 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'article_image': 'image/number2.png', 'check_key': 2, 'answer_image': 'image/noawnser2.png', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
12.8386 	EXP 	text: autoDraw = False
12.8386 	EXP 	text: autoDraw = False
12.8386 	EXP 	imageanswer: image = 'image/noawnser2.png'
12.8386 	EXP 	imageanswer: autoDraw = True
17.8489 	INFO 	Keyboard events cleared
17.8487 	EXP 	imageanswer: autoDraw = False
17.8487 	EXP 	image: image = 'image/number2.png'
17.8487 	EXP 	image: autoDraw = True
22.9358 	DATA 	Keypress: 1
22.9511 	EXP 	image: autoDraw = False
22.9511 	EXP 	text: autoDraw = True
23.4352 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'article_image': 'image/number3.png', 'check_key': 3, 'answer_image': 'image/noawnser3.png', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
23.4741 	EXP 	text: autoDraw = False
23.4741 	EXP 	text: autoDraw = False
